year_month,category,order_count
2016-09-01,furniture_decor,2
2016-09-01,health_beauty,3
2016-09-01,telephony,1
2016-10-01,air_conditioning,10
2016-10-01,audio,2
2016-10-01,auto,12
2016-10-01,baby,14
2016-10-01,bed_bath_table,8
2016-10-01,books_general_interest,1
2016-10-01,books_technical,1
2016-10-01,computers_accessories,21
2016-10-01,consoles_games,10
2016-10-01,cool_stuff,8
2016-10-01,diapers_and_hygiene,1
2016-10-01,electronics,2
2016-10-01,fashio_female_clothing,1
2016-10-01,fashion_bags_accessories,9
2016-10-01,fashion_male_clothing,1
2016-10-01,fashion_shoes,1
2016-10-01,fixed_telephony,5
2016-10-01,food,1
2016-10-01,furniture_decor,67
2016-10-01,garden_tools,5
2016-10-01,health_beauty,48
2016-10-01,housewares,12
2016-10-01,industry_commerce_and_business,4
2016-10-01,market_place,13
2016-10-01,office_furniture,6
2016-10-01,perfumery,33
2016-10-01,pet_shop,4
2016-10-01,sports_leisure,19
2016-10-01,telephony,10
2016-10-01,toys,27
2016-10-01,watches_gifts,5
2016-12-01,fashion_bags_accessories,1
2017-01-01,agro_industry_and_commerce,3
2017-01-01,air_conditioning,4
2017-01-01,auto,34
2017-01-01,baby,41
2017-01-01,bed_bath_table,48
2017-01-01,books_general_interest,2
2017-01-01,computers,1
2017-01-01,computers_accessories,31
2017-01-01,consoles_games,23
2017-01-01,construction_tools_construction,1
2017-01-01,cool_stuff,40
2017-01-01,dvds_blu_ray,2
2017-01-01,electronics,11
2017-01-01,fashio_female_clothing,2
2017-01-01,fashion_bags_accessories,35
2017-01-01,fashion_male_clothing,1
2017-01-01,fashion_shoes,1
2017-01-01,fashion_underwear_beach,2
2017-01-01,fixed_telephony,22
2017-01-01,food,2
2017-01-01,furniture_bedroom,8
2017-01-01,furniture_decor,182
2017-01-01,furniture_living_room,10
2017-01-01,garden_tools,58
2017-01-01,health_beauty,85
2017-01-01,home_appliances_2,8
2017-01-01,home_comfort_2,2
2017-01-01,housewares,28
2017-01-01,kitchen_dining_laundry_garden_furniture,1
2017-01-01,luggage_accessories,5
2017-01-01,market_place,6
2017-01-01,music,2
2017-01-01,musical_instruments,1
2017-01-01,office_furniture,10
2017-01-01,perfumery,34
2017-01-01,pet_shop,15
2017-01-01,security_and_services,1
2017-01-01,small_appliances,6
2017-01-01,sports_leisure,80
2017-01-01,stationery,14
2017-01-01,telephony,26
2017-01-01,toys,43
2017-01-01,watches_gifts,11
